phi4:14b,microsoft/phi-4,16384,instruct,ollama
phi4-mini:3.8b,microsoft/Phi-4-mini-instruct,131072,instruct,ollama
phi4-reasoning:14b,microsoft/Phi-4-reasoning,32768,reasoning,ollama
phi4-mini-reasoning:3.8b,microsoft/Phi-4-mini-reasoning,131072,reasoning,ollama
qwen2.5:1.5b,Qwen/Qwen2.5-1.5B-Instruct,32768,instruct,ollama
qwen2.5:14b,Qwen/Qwen2.5-14B-Instruct,32768,instruct,ollama
qwen2.5:32b,Qwen/Qwen2.5-32B-Instruct,32768,instruct,ollama
qwq:32b,Qwen/QwQ-32B,40960,reasoning,ollama
qwen2.5-coder:1.5b,Qwen/Qwen2.5-Coder-1.5B-Instruct,32768,instruct,ollama
qwen2.5-coder:14b,Qwen/Qwen2.5-Coder-14B-Instruct,32768,instruct,ollama
qwen2.5-coder:32b,Qwen/Qwen2.5-Coder-32B-Instruct,32768,instruct,ollama
gemma3:1b,google/gemma-3-1b-it,32768,instruct,ollama
gemma3:12b,google/gemma-3-12b-it,131072,instruct,ollama
gemma3:27b,google/gemma-3-27b-it,131072,instruct,ollama
llama3.1:8b,meta-llama/Meta-Llama-3.1-8B-Instruct,131072,instruct,ollama
llama3.1:70b,meta-llama/Meta-Llama-3.1-70B-Instruct,131072,instruct,ollama
deepseek-v2:16b,deepseek-ai/DeepSeek-V2,163840,instruct,ollama
deepseek-coder-v2:16b,deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,163840,instruct,ollama
